stname,year,deaths,population,division,region,stabbr,poverty_rate,unemployment_rate
Louisiana,2005,661,4576628,West South Central,South,LA,18.3,7.2
Maine,2005,163,1318787,New England,Northeast,ME,12.6,4.9
Maryland,2005,656,5592379,South Atlantic,South,MD,9.7,4.1
Massachusetts,2005,780,6403290,New England,Northeast,MA,10.1,4.8
Michigan,2005,985,10051137,East North Central,Midwest,MI,12,6.8
Minnesota,2005,282,5119598,West North Central,Midwest,MN,8.1,4.1
Mississippi,2005,248,2905943,East South Central,South,MS,20.1,7.5
Missouri,2005,608,5790300,West North Central,Midwest,MO,11.6,5.4
Montana,2005,96,940102,Mountain,West,MT,13.8,4.4
Nebraska,2005,86,1761497,West North Central,Midwest,NE,9.5,3.8
Nevada,2005,457,2432143,Mountain,West,NV,10.6,4.1
New Hampshire,2005,142,1298492,New England,Northeast,NH,5.6,3.6
New Jersey,2005,823,8651974,Middle Atlantic,Northeast,NJ,6.8,4.5
New Mexico,2005,373,1932274,Mountain,West,NM,17.9,5.1
New York,2005,944,19132610,Middle Atlantic,Northeast,NY,14.5,5
North Carolina,2005,1000,8705407,South Atlantic,South,NC,13.1,5.2
North Dakota,2005,12,646089,West North Central,Midwest,ND,11.2,3.4
Ohio,2005,1243,11463320,East North Central,Midwest,OH,12.3,5.9
Oklahoma,2005,478,3548597,West South Central,South,OK,15.6,4.5
Oregon,2005,386,3613202,Pacific,West,OR,12,6.2
Pennsylvania,2005,1613,12449990,Middle Atlantic,Northeast,PA,11.2,5
Rhode Island,2005,156,1067916,New England,Northeast,RI,12.1,5
South Carolina,2005,427,4270150,South Atlantic,South,SC,15,6.7
South Dakota,2005,40,775493,West North Central,Midwest,SD,11.8,3.8
Tennessee,2005,872,5991057,East South Central,South,TN,14.9,5.6
Texas,2005,1910,22778123,West South Central,South,TX,16.2,5.4
Utah,2005,438,2457719,Mountain,West,UT,9.2,4.1
Vermont,2005,53,621215,New England,Northeast,VT,7.6,3.5
Virginia,2005,581,7577105,South Atlantic,South,VA,9.2,3.6
Washington,2005,850,6257305,Pacific,West,WA,10.2,5.6
West Virginia,2005,184,1820492,South Atlantic,South,WV,15.4,5.1
Wisconsin,2005,518,5546166,East North Central,Midwest,WI,10.2,4.7
Wyoming,2005,26,514157,Mountain,West,WY,10.6,3.6
Alabama,2006,398,4628981,East South Central,South,AL,14.3,4
Alaska,2006,76,675302,Pacific,West,AK,8.9,6.6
Arizona,2006,876,6029141,Mountain,West,AZ,14.4,4.2
Arkansas,2006,285,2821761,West South Central,South,AR,17.7,5.2
California,2006,3494,36021202,Pacific,West,CA,12.2,4.9
Colorado,2006,627,4720423,Mountain,West,CO,9.7,4.3
Connecticut,2006,407,3517460,New England,Northeast,CT,8,4.3
Delaware,2006,78,859268,South Atlantic,South,DE,9.3,3.6
District of Columbia,2006,101,570681,South Atlantic,South,DC,18.3,5.8
Florida,2006,2591,18166990,South Atlantic,South,FL,11.5,3.2
Georgia,2006,830,9155813,South Atlantic,South,GA,12.6,4.7
Hawaii,2006,86,1309731,Pacific,West,HI,9.2,2.6
Idaho,2006,130,1468669,Mountain,West,ID,9.5,3.5
Illinois,2006,1369,12643955,East North Central,Midwest,IL,10.6,4.5
Indiana,2006,736,6332669,East North Central,Midwest,IN,10.6,5
Iowa,2006,187,2982644,West North Central,Midwest,IA,10.3,3.7
Kansas,2006,257,2762931,West North Central,Midwest,KS,12.8,4.4
Kentucky,2006,728,4219239,East South Central,South,KY,16.8,5.7
Louisiana,2006,705,4302665,West South Central,South,LA,17,4.5
Maine,2006,159,1323619,New England,Northeast,ME,10.2,4.6
Maryland,2006,762,5627367,South Atlantic,South,MD,8.4,3.9
Massachusetts,2006,970,6410084,New England,Northeast,MA,12,4.9
Michigan,2006,1176,10036081,East North Central,Midwest,MI,13.3,7
Minnesota,2006,311,5163555,West North Central,Midwest,MN,8.2,4
Mississippi,2006,339,2904978,East South Central,South,MS,20.6,6.5
Missouri,2006,743,5842704,West North Central,Midwest,MO,11.4,4.8
Montana,2006,97,952692,Mountain,West,MT,13.5,3.5
Nebraska,2006,91,1772693,West North Central,Midwest,NE,10.2,3.1
Nevada,2006,461,2522658,Mountain,West,NV,9.5,4
New Hampshire,2006,149,1308389,New England,Northeast,NH,5.4,3.4
New Jersey,2006,847,8661679,Middle Atlantic,Northeast,NJ,8.8,4.7
New Mexico,2006,418,1962137,Mountain,West,NM,16.9,4.2
New York,2006,1680,19104631,Middle Atlantic,Northeast,NY,14,4.5
North Carolina,2006,1059,8917270,South Atlantic,South,NC,13.8,4.7
North Dakota,2006,14,649422,West North Central,Midwest,ND,11.4,3.2
Ohio,2006,1515,11481213,East North Central,Midwest,OH,12.1,5.4
Oklahoma,2006,563,3594090,West South Central,South,OK,15.2,4
Oregon,2006,485,3670883,Pacific,West,OR,11.8,5.3
Pennsylvania,2006,1638,12510809,Middle Atlantic,Northeast,PA,11.3,4.6
Rhode Island,2006,175,1063096,New England,Northeast,RI,10.5,4.9
South Carolina,2006,554,4357847,South Atlantic,South,SC,11.2,6.4
South Dakota,2006,37,783033,West North Central,Midwest,SD,10.7,3.1
Tennessee,2006,975,6088766,East South Central,South,TN,14.9,5.2
Texas,2006,2191,23359580,West South Central,South,TX,16.4,4.9
Utah,2006,444,2525507,Mountain,West,UT,9.3,3
Vermont,2006,75,622892,New England,Northeast,VT,7.8,3.7
Virginia,2006,629,7673725,South Atlantic,South,VA,8.6,3.1
Washington,2006,897,6370753,Pacific,West,WA,8,5
West Virginia,2006,362,1827912,South Atlantic,South,WV,15.3,4.9
Wisconsin,2006,593,5577655,East North Central,Midwest,WI,10.1,4.7
Wyoming,2006,55,522667,Mountain,West,WY,10,3.2
Alabama,2007,511,4672840,East South Central,South,AL,14.5,4
Alaska,2007,72,680300,Pacific,West,AK,7.6,6.3
Arizona,2007,943,6167681,Mountain,West,AZ,14.3,3.9
Arkansas,2007,301,2848650,West South Central,South,AR,13.8,5.3
California,2007,3854,36250311,Pacific,West,CA,12.7,5.4
Colorado,2007,734,4803868,Mountain,West,CO,9.8,3.7
Connecticut,2007,433,3527270,New England,Northeast,CT,8.9,4.5
Delaware,2007,97,871749,South Atlantic,South,DE,9.3,3.4
District of Columbia,2007,61,574404,South Atlantic,South,DC,18,5.5
Florida,2007,2794,18367842,South Atlantic,South,FL,12.5,4
Georgia,2007,923,9349988,South Atlantic,South,GA,13.6,4.5
Hawaii,2007,136,1315675,Pacific,West,HI,7.5,2.8
Idaho,2007,126,1505105,Mountain,West,ID,9.9,3.1
Illinois,2007,1192,12695866,East North Central,Midwest,IL,10,5
Indiana,2007,781,6379599,East North Central,Midwest,IN,11.8,4.6
Iowa,2007,203,2999212,West North Central,Midwest,IA,8.9,3.7
Kansas,2007,270,2783785,West North Central,Midwest,KS,11.7,4.2
Kentucky,2007,708,4256672,East South Central,South,KY,15.5,5.4
Louisiana,2007,808,4375581,West South Central,South,LA,16.1,4.3
Maine,2007,159,1327040,New England,Northeast,ME,10.9,4.7
Maryland,2007,769,5653408,South Atlantic,South,MD,8.8,3.5
Massachusetts,2007,922,6431559,New England,Northeast,MA,11.2,4.6
Michigan,2007,1236,10001284,East North Central,Midwest,MI,10.8,7
Minnesota,2007,341,5207203,West North Central,Midwest,MN,9.3,4.6
Mississippi,2007,314,2928350,East South Central,South,MS,22.6,6.1
Missouri,2007,714,5887612,West North Central,Midwest,MO,12.8,5.1
Montana,2007,125,964706,Mountain,West,MT,13,3.6
Nebraska,2007,80,1783440,West North Central,Midwest,NE,9.9,3
Nevada,2007,499,2601072,Mountain,West,NV,9.7,4.5
New Hampshire,2007,186,1312540,New England,Northeast,NH,5.8,3.5
New Jersey,2007,727,8677885,Middle Atlantic,Northeast,NJ,8.7,4.3
New Mexico,2007,462,1990070,Mountain,West,NM,14,3.8
New York,2007,1708,19132335,Middle Atlantic,Northeast,NY,14.5,4.6
North Carolina,2007,1084,9118037,South Atlantic,South,NC,15.5,4.7
North Dakota,2007,32,652822,West North Central,Midwest,ND,9.3,3.1
Ohio,2007,1592,11500468,East North Central,Midwest,OH,12.8,5.6
Oklahoma,2007,666,3634349,West South Central,South,OK,13.4,4.1
Oregon,2007,502,3722417,Pacific,West,OR,12.8,5.2
Pennsylvania,2007,1733,12563937,Middle Atlantic,Northeast,PA,10.4,4.4
Rhode Island,2007,135,1057315,New England,Northeast,RI,9.5,5.2
South Carolina,2007,545,4444110,South Atlantic,South,SC,14.1,5.7
South Dakota,2007,32,791623,West North Central,Midwest,SD,9.4,2.8
Tennessee,2007,985,6175727,East South Central,South,TN,14.8,4.7
Texas,2007,2194,23831983,West South Central,South,TX,16.5,4.3
Utah,2007,511,2597746,Mountain,West,UT,9.6,2.6
Vermont,2007,66,623481,New England,Northeast,VT,9.9,4
Virginia,2007,700,7751000,South Atlantic,South,VA,8.6,3
Washington,2007,962,6461587,Pacific,West,WA,10.2,4.7
West Virginia,2007,397,1834052,South Atlantic,South,WV,14.8,4.6
Wisconsin,2007,622,5610775,East North Central,Midwest,WI,11,4.9
Wyoming,2007,63,534876,Mountain,West,WY,10.9,2.8
Alabama,2008,607,4718206,East South Central,South,AL,14.3,5.7
Alaska,2008,127,687455,Pacific,West,AK,8.2,6.7
Arizona,2008,828,6280362,Mountain,West,AZ,18,6.2
Arkansas,2008,360,2874554,West South Central,South,AR,15.3,5.5
California,2008,3863,36604337,Pacific,West,CA,14.6,7.3
Colorado,2008,749,4889730,Mountain,West,CO,11,4.8
Connecticut,2008,386,3545579,New England,Northeast,CT,8.1,5.7
Delaware,2008,124,883874,South Atlantic,South,DE,9.6,4.9
District of Columbia,2008,56,580236,South Atlantic,South,DC,16.5,6.5
Florida,2008,2963,18527305,South Atlantic,South,FL,13.1,6.3
Georgia,2008,935,9504843,South Atlantic,South,GA,15.5,6.2
Hawaii,2008,123,1332213,Pacific,West,HI,9.9,4.3
Idaho,2008,146,1534320,Mountain,West,ID,12.2,5.1
Illinois,2008,1353,12747038,East North Central,Midwest,IL,12.3,6.3
Indiana,2008,830,6424806,East North Central,Midwest,IN,14.3,5.9
Iowa,2008,209,3016734,West North Central,Midwest,IA,9.5,4.2
Kansas,2008,219,2808076,West North Central,Midwest,KS,12.7,4.6
Kentucky,2008,764,4289878,East South Central,South,KY,17.1,6.4
Louisiana,2008,647,4435586,West South Central,South,LA,18.2,4.9
Maine,2008,162,1330509,New England,Northeast,ME,12,5.5
Maryland,2008,693,5684965,South Atlantic,South,MD,8.7,4.2
Massachusetts,2008,786,6468967,New England,Northeast,MA,11.3,5.5
Michigan,2008,1239,9946889,East North Central,Midwest,MI,13,8
Minnesota,2008,384,5247018,West North Central,Midwest,MN,9.9,5.4
Mississippi,2008,303,2947806,East South Central,South,MS,18.1,6.6
Missouri,2008,765,5923916,West North Central,Midwest,MO,13.3,6.1
Montana,2008,134,976415,Mountain,West,MT,12.9,5.1
Nebraska,2008,94,1796378,West North Central,Midwest,NE,10.6,3.3
Nevada,2008,519,2653630,Mountain,West,NV,10.8,6.7
New Hampshire,2008,126,1315906,New England,Northeast,NH,7,3.9
New Jersey,2008,702,8711090,Middle Atlantic,Northeast,NJ,9.2,5.3
New Mexico,2008,518,2010662,Mountain,West,NM,19.3,4.5
New York,2008,1691,19212436,Middle Atlantic,Northeast,NY,14.2,5.4
North Carolina,2008,1196,9309449,South Atlantic,South,NC,13.9,6.1
North Dakota,2008,46,657569,West North Central,Midwest,ND,11.8,3.2
Ohio,2008,1733,11515391,East North Central,Midwest,OH,13.7,6.4
Oklahoma,2008,564,3668976,West South Central,South,OK,13.6,3.7
Oregon,2008,452,3768748,Pacific,West,OR,10.6,6.5
Pennsylvania,2008,1850,12612285,Middle Atlantic,Northeast,PA,11,5.3
Rhode Island,2008,185,1055003,New England,Northeast,RI,12.7,7.8
South Carolina,2008,565,4528996,South Atlantic,South,SC,14,6.8
South Dakota,2008,54,799124,West North Central,Midwest,SD,13.1,3.1
Tennessee,2008,938,6247411,East South Central,South,TN,15,6.6
Texas,2008,2053,24309039,West South Central,South,TX,15.9,4.8
Utah,2008,468,2663029,Mountain,West,UT,7.6,3.6
Vermont,2008,73,624151,New England,Northeast,VT,9,4.7
Virginia,2008,718,7833496,South Atlantic,South,VA,10.3,3.9
Washington,2008,1011,6562231,Pacific,West,WA,10.4,5.4
West Virginia,2008,459,1840310,South Atlantic,South,WV,14.5,4.3
Wisconsin,2008,606,5640996,East North Central,Midwest,WI,9.8,4.9
Wyoming,2008,74,546043,Mountain,West,WY,10.1,3.1
Alabama,2009,630,4757938,East South Central,South,AL,16.6,11
Alaska,2009,131,698895,Pacific,West,AK,11.7,7.7
Arizona,2009,1002,6343154,Mountain,West,AZ,21.2,9.9
Arkansas,2009,351,2896843,West South Central,South,AR,18.9,7.8
California,2009,4056,36961229,Pacific,West,CA,15.3,11.2
Colorado,2009,769,4972195,Mountain,West,CO,12.3,7.3
Connecticut,2009,393,3561807,New England,Northeast,CT,8.4,7.9
Delaware,2009,136,891730,South Atlantic,South,DE,12.3,8.3
District of Columbia,2009,26,592228,South Atlantic,South,DC,17.9,9.3
Florida,2009,3092,18652644,South Atlantic,South,FL,14.6,10.4
Georgia,2009,1007,9620846,South Atlantic,South,GA,18.4,9.9
Hawaii,2009,136,1346717,Pacific,West,HI,12.5,7.2
Idaho,2009,171,1554439,Mountain,West,ID,13.7,8.8
Illinois,2009,1381,12796778,East North Central,Midwest,IL,13.2,10.2
Indiana,2009,896,6459325,East North Central,Midwest,IN,16.1,10.3
Iowa,2009,207,3032870,West North Central,Midwest,IA,10.7,6.4
Kansas,2009,304,2832704,West North Central,Midwest,KS,13.7,6.9
Kentucky,2009,769,4317074,East South Central,South,KY,17,10.3
Louisiana,2009,584,4491648,West South Central,South,LA,14.3,6.8
Maine,2009,173,1329590,New England,Northeast,ME,11.4,8.1
Maryland,2009,743,5730388,South Atlantic,South,MD,9.6,7
Massachusetts,2009,816,6517613,New England,Northeast,MA,10.8,8.1
Michigan,2009,1429,9901591,East North Central,Midwest,MI,14,13.7
Minnesota,2009,419,5281203,West North Central,Midwest,MN,11.1,7.8
Mississippi,2009,323,2958774,East South Central,South,MS,23.1,9.5
Missouri,2009,863,5961088,West North Central,Midwest,MO,15.5,9.3
Montana,2009,142,983982,Mountain,West,MT,13.5,6.8
Nebraska,2009,106,1812683,West North Central,Midwest,NE,9.9,4.6
Nevada,2009,550,2684665,Mountain,West,NV,13,11.3
New Hampshire,2009,168,1316102,New England,Northeast,NH,7.8,6.2
New Jersey,2009,263,8755602,Middle Atlantic,Northeast,NJ,9.3,9.1
New Mexico,2009,438,2036802,Mountain,West,NM,19.3,7.5
New York,2009,1592,19307066,Middle Atlantic,Northeast,NY,15.8,8.3
North Carolina,2009,1191,9449566,South Atlantic,South,NC,16.9,10.6
North Dakota,2009,27,664968,West North Central,Midwest,ND,10.9,4.1
Ohio,2009,1236,11528896,East North Central,Midwest,OH,13.3,10.3
Oklahoma,2009,756,3717572,West South Central,South,OK,12.9,6.4
Oregon,2009,501,3808600,Pacific,West,OR,13.4,11.3
Pennsylvania,2009,1909,12666858,Middle Atlantic,Northeast,PA,11.1,8
Rhode Island,2009,161,1053646,New England,Northeast,RI,13,11
South Carolina,2009,615,4589872,South Atlantic,South,SC,13.7,11.2
South Dakota,2009,49,807067,West North Central,Midwest,SD,14.1,4.9
Tennessee,2009,962,6306019,East South Central,South,TN,16.5,10.5
Texas,2009,2409,24801761,West South Central,South,TX,17.3,7.6
Utah,2009,478,2723421,Mountain,West,UT,9.7,7.3
Vermont,2009,55,624817,New England,Northeast,VT,9.4,6.6
Virginia,2009,685,7925937,South Atlantic,South,VA,10.7,6.7
Washington,2009,987,6667426,Pacific,West,WA,11.7,9.2
West Virginia,2009,226,1847775,South Atlantic,South,WV,15.8,7.7
Wisconsin,2009,631,5669264,East North Central,Midwest,WI,10.8,8.6
Wyoming,2009,60,559851,Mountain,West,WY,9.2,6.3
Alabama,2010,547,4780135,East South Central,South,AL,17.3,10.5
Alaska,2010,83,710249,Pacific,West,AK,12.4,7.9
Arizona,2010,1098,6392309,Mountain,West,AZ,18.6,10.4
Arkansas,2010,350,2916031,West South Central,South,AR,15.5,8.2
California,2010,4057,37254518,Pacific,West,CA,16.3,12.2
Colorado,2010,654,5029325,Mountain,West,CO,12.2,8.7
Connecticut,2010,363,3574114,New England,Northeast,CT,8.3,9.1
Delaware,2010,145,897936,South Atlantic,South,DE,12.1,8.4
District of Columbia,2010,78,601766,South Atlantic,South,DC,19.9,9.4
Florida,2010,3061,18804594,South Atlantic,South,FL,16,11.1
Georgia,2010,1054,9688690,South Atlantic,South,GA,18.7,10.5
Hawaii,2010,151,1360301,Pacific,West,HI,12.1,6.9
Idaho,2010,178,1567650,Mountain,West,ID,14,9
Illinois,2010,1288,12831565,East North Central,Midwest,IL,14.1,10.4
Indiana,2010,927,6484125,East North Central,Midwest,IN,16.3,10.4
Iowa,2010,253,3046869,West North Central,Midwest,IA,10.3,6
Kansas,2010,269,2853130,West North Central,Midwest,KS,14.3,7.1
Kentucky,2010,1007,4339340,East South Central,South,KY,17.7,10.2
Louisiana,2010,591,4533478,West South Central,South,LA,21.6,8
Maine,2010,135,1328362,New England,Northeast,ME,12.5,8.1
Maryland,2010,650,5773807,South Atlantic,South,MD,10.8,7.7
Massachusetts,2010,738,6547808,New England,Northeast,MA,10.6,8.3
Michigan,2010,1394,9884129,East North Central,Midwest,MI,15.5,12.6
Minnesota,2010,397,5303924,West North Central,Midwest,MN,10.5,7.4
Mississippi,2010,334,2968103,East South Central,South,MS,22.7,10.4
Missouri,2010,998,5988925,West North Central,Midwest,MO,14.8,9.6
Montana,2010,118,989414,Mountain,West,MT,14,7.3
Nebraska,2010,117,1826327,West North Central,Midwest,NE,10.2,4.6
Nevada,2010,578,2700691,Mountain,West,NV,16.4,13.5
New Hampshire,2010,160,1316460,New England,Northeast,NH,6.6,5.8
New Jersey,2010,868,8791953,Middle Atlantic,Northeast,NJ,10.7,9.5
New Mexico,2010,478,2059207,Mountain,West,NM,18.6,8.1
New York,2010,1557,19378110,Middle Atlantic,Northeast,NY,16,8.6
North Carolina,2010,1093,9535721,South Atlantic,South,NC,17.4,10.9
North Dakota,2010,23,672585,West North Central,Midwest,ND,12.2,3.8
Ohio,2010,1835,11536730,East North Central,Midwest,OH,15.3,10.3
Oklahoma,2010,717,3751598,West South Central,South,OK,16.3,6.8
Oregon,2010,503,3831072,Pacific,West,OR,14.2,10.6
Pennsylvania,2010,1916,12702857,Middle Atlantic,Northeast,PA,12.2,8.5
Rhode Island,2010,167,1052945,New England,Northeast,RI,13.6,11.2
South Carolina,2010,678,4625381,South Atlantic,South,SC,17,11.2
South Dakota,2010,45,814197,West North Central,Midwest,SD,13.2,5
Tennessee,2010,1080,6346295,East South Central,South,TN,16.7,9.7
Texas,2010,2399,25146100,West South Central,South,TX,18.4,8.1
Utah,2010,433,2763889,Mountain,West,UT,10,7.8
Vermont,2010,63,625741,New England,Northeast,VT,10.8,6.1
Virginia,2010,558,8001043,South Atlantic,South,VA,10.7,7.1
Washington,2010,916,6724545,Pacific,West,WA,11.5,10
West Virginia,2010,512,1853006,South Atlantic,South,WV,16.9,8.7
Wisconsin,2010,630,5687288,East North Central,Midwest,WI,9.9,8.7
Wyoming,2010,85,563767,Mountain,West,WY,9.6,6.4
Alabama,2011,552,4798649,East South Central,South,AL,15.4,9.6
Alaska,2011,107,722259,Pacific,West,AK,11.7,7.6
Arizona,2011,1071,6465488,Mountain,West,AZ,17.2,9.5
Arkansas,2011,355,2938640,West South Central,South,AR,18.7,8.3
California,2011,4180,37672654,Pacific,West,CA,16.9,11.7
Colorado,2011,843,5116411,Mountain,West,CO,13.2,8.4
Connecticut,2011,402,3591927,New England,Northeast,CT,10.1,8.8
Delaware,2011,160,907884,South Atlantic,South,DE,13.7,7.5
District of Columbia,2011,86,620336,South Atlantic,South,DC,19.9,10.2
Florida,2011,2918,19097369,South Atlantic,South,FL,14.9,10
Georgia,2011,1058,9810595,South Atlantic,South,GA,18.4,10.2
Hawaii,2011,180,1378323,Pacific,West,HI,12.1,6.8
Idaho,2011,193,1583180,Mountain,West,ID,15.7,8.3
Illinois,2011,1408,12862298,East North Central,Midwest,IL,14.2,9.7
Indiana,2011,975,6515358,East North Central,Midwest,IN,15.6,9.1
Iowa,2011,250,3063690,West North Central,Midwest,IA,10.4,5.5
Kansas,2011,280,2868756,West North Central,Midwest,KS,14.3,6.5
Kentucky,2011,1058,4368505,East South Central,South,KY,16,9.4
Louisiana,2011,601,4574388,West South Central,South,LA,21.1,7.8
Maine,2011,156,1327968,New England,Northeast,ME,13.4,7.9
Maryland,2011,707,5843115,South Atlantic,South,MD,9.3,7.2
Massachusetts,2011,857,6612178,New England,Northeast,MA,10.6,7.3
Michigan,2011,1386,9876199,East North Central,Midwest,MI,15,10.4
Minnesota,2011,511,5345967,West North Central,Midwest,MN,10,6.5
Mississippi,2011,302,2977452,East South Central,South,MS,17.4,10
Missouri,2011,963,6010280,West North Central,Midwest,MO,15.4,8.5
Montana,2011,141,996866,Mountain,West,MT,16.5,6.9
Nebraska,2011,129,1841641,West North Central,Midwest,NE,10.2,4.4
Nevada,2011,639,2718170,Mountain,West,NV,15.5,13
New Hampshire,2011,210,1318345,New England,Northeast,NH,7.6,5.4
New Jersey,2011,1012,8844694,Middle Atlantic,Northeast,NJ,11.4,9.3
New Mexico,2011,529,2077744,Mountain,West,NM,22.2,7.5
New York,2011,1948,19526372,Middle Atlantic,Northeast,NY,16,8.3
North Carolina,2011,1264,9662940,South Atlantic,South,NC,15.4,10.3
